Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_55_779.jpg;0;0;0;1.17517;103.2962;174.9173;1.098043;282.1277;-0.0001855831
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_55_847.jpg;1.550851;0;0;1.172527;103.3154;174.828;0.9567227;282.1824;0.006761076
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_55_914.jpg;4.54846;0;0;1.168635;103.3312;174.7622;0.8217938;282.4496;0.04235816
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_55_980.jpg;7.511128;0;0;1.162543;103.3483;174.6974;0.667874;282.9135;0.1065673
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_56_047.jpg;10.52997;0;0;1.156918;103.3738;174.6126;0.4393087;283.8584;0.2420641
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_56_110.jpg;13.52028;0;0;1.150568;103.3951;174.5504;0.2548664;284.7968;0.3800035
Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_56_180.jpg;15;0;0;1.140718;103.4181;174.4894;0.06414364;285.883;0.5409892
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_56_247.jpg;15;0;0;1.134831;103.4505;174.4086;359.8599;287.3501;0.7291606
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_56_314.jpg;15;0;0;1.127744;103.4761;174.3481;359.7621;288.4543;0.8395526
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_56_380.jpg;15;0;0;1.119455;103.5028;174.2876;359.7106;289.5432;0.9196027
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_56_447.jpg;15;0;0;1.112947;103.5404;174.2062;359.7805;290.9829;0.9197481
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_56_514.jpg;13.5071;0;0;1.105577;103.5704;174.1458;359.8683;292.0628;0.8991477
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_56_579.jpg;10.52152;0;0;1.101069;103.6007;174.086;359.9407;292.9911;0.8713876
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_56_647.jpg;7.435462;0;0;1.0986;103.6406;174.0066;0.01332543;293.8943;0.797986
